"47","47","AJO EN POLVO x 1 kg","AJO EN POLVO x 1 kg","no","500","420","0","420","420","123456789","4","1","no","no"," 20210101000101","20210101000101"
"48","48","ALBAHACA HOJAS x 1 kg","ALBAHACA HOJAS x 1 kg","no","500","620","0","620","620","123456789","4","1","no","no"," 20210101000101","20210101000101"
"49","49","ALMENDRA ENTERA x kg","ALMENDRA ENTERA x kg","no","500","1150","0","1150","1150","123456789","5","1","no","no"," 20210101000101","20210101000101"
"50","50","ALMIDON DE MAIZ (MAICENA) x 10 Kg","ALMIDON DE MAIZ (MAICENA) x 10 Kg","no","500","915","0","915","915","123456789","5","1","no","no"," 20210101000101","20210101000101"
"51","51","ALMIDON DE MAIZ (MAICENA) x Kg","ALMIDON DE MAIZ (MAICENA) x Kg","no","500","175","0","175","175","123456789","5","1","no","no"," 20210101000101","20210101000101"
"52","52","ANANA LATA GRANDE","ANANA LATA GRANDE","no","500","465","0","465","465","123456789","5","1","no","no"," 20210101000101","20210101000101"
"53","53","ANCHOAS FRUTOS DEL CIELO EN SOBRE 40 x 3","ANCHOAS FRUTOS DEL CIELO EN SOBRE 40 x 3","no","500","1100","0","1100","1100","123456789","4","1","no","no"," 20210101000101","20210101000101"
"54","54","ANCHOAS FRUTOS DEL CIELO SUELTA x 1 Kg","ANCHOAS FRUTOS DEL CIELO SUELTA x 1 Kg","no","500","1800","0","1800","1800","123456789","4","1","no","no"," 20210101000101","20210101000101"
"55","55","ANCHOAS FRUTOS DEL CIELO SUELTA x 350 g","ANCHOAS FRUTOS DEL CIELO SUELTA x 350 g","no","500","700","0","700","700","123456789","4","1","no","no"," 20210101000101","20210101000101"
"56","56","ANCHOAS FRUTOS DEL CIELO x 90 gr","ANCHOAS FRUTOS DEL CIELO x 90 gr","no","500","220","0","220","220","123456789","4","1","no","no"," 20210101000101","20210101000101"
"57","57","ANIZ x 1 kg ","ANIZ x 1 kg ","no","500","480","0","480","480","123456789","4","1","no","no"," 20210101000101","20210101000101"
"58","58","AROS DE CEBOLLA  x 1 kg ","AROS DE CEBOLLA  x 1 kg ","no","500","650","0","650","650","123456789","6","1","no","no"," 20210101000101","20210101000101"
"59","59","ARVEJAS Chica","ARVEJAS Chica","no","500","55","0","55","55","123456789","7","1","no","no"," 20210101000101","20210101000101"
"60","60","ARVEJAS Grande","ARVEJAS Grande","no","500","95","0","95","95","123456789","7","1","no","no"," 20210101000101","20210101000101"
"61","61","ATUN EN ACEITE CHICO","ATUN EN ACEITE CHICO","no","500","170","0","170","170","123456789","2","1","no","no"," 20210101000101","20210101000101"
"62","62","ATUN EN ACEITE x 1800 kg","ATUN EN ACEITE x 1800 kg","no","500","1800","0","1800","1800","123456789","2","1","no","no"," 20210101000101","20210101000101"
"63","63","AZUCAR GRANA x 1 kg ","AZUCAR GRANA x 1 kg ","no","500","140","0","140","140","123456789","5","1","no","no"," 20210101000101","20210101000101"
"64","64","AZUCAR IMPALPABLE TALCO  x 1 Kg","AZUCAR IMPALPABLE TALCO  x 1 Kg","no","500","145","0","145","145","123456789","5","1","no","no"," 20210101000101","20210101000101"
"65","65","AZUCAR IMPALPABLE TALCO  x 10 Kg","AZUCAR IMPALPABLE TALCO  x 10 Kg","no","500","1365","0","1365","1365","123456789","5","1","no","no"," 20210101000101","20210101000101"
"66","66","AZUCAR NEGRA x 1 kg","AZUCAR NEGRA x 1 kg","no","500","140","0","140","140","123456789","5","1","no","no"," 20210101000101","20210101000101"
"67","67","AZUCAR PACK x 10Kg","AZUCAR PACK x 10Kg","no","500","550","0","550","550","123456789","5","1","no","no"," 20210101000101","20210101000101"
"68","68","BARRA QUESO TYBO MARIMIL  x Kg","BARRA QUESO TYBO MARIMIL  x Kg","no","500","595","0","595","595","123456789","8","1","no","no"," 20210101000101","20210101000101"
