"70","70","JAMON COCIDO LUVIANKA VERDE x kg","JAMON COCIDO LUVIANKA VERDE x kg","no","100","1","0","680","1","123456858","1","1","no","no","1","no","20210101000101","20210101000101"
"71","71","JAMON COCIDO PIERES ( Pernil ) x kg","JAMON COCIDO PIERES ( Pernil ) x kg","no","100","1","0","515","1","123456859","1","1","no","no","1","no","20210101000101","20210101000101"
"72","72","JAMON COCIDO PIERES (Tipo Natural) x kg","JAMON COCIDO PIERES (Tipo Natural) x kg","no","100","1","0","685","1","123456860","1","1","no","no","1","no","20210101000101","20210101000101"
"73","73","JAMON COCIDO Quiro+ BOMBON x Kg","JAMON COCIDO Quiro+ BOMBON x Kg","no","100","1","0","520","1","123456861","1","1","no","no","1","no","20210101000101","20210101000101"
"74","74","JAMON COCIDO Quiro+ NATURAL x Kg","JAMON COCIDO Quiro+ NATURAL x Kg","no","100","1","0","620","1","123456862","1","1","no","no","1","no","20210101000101","20210101000101"
"75","75","JAMON COCIDO Quiro+ PATA D/CERDO (Pernil)","JAMON COCIDO Quiro+ PATA D/CERDO (Pernil)","no","100","1","0","475","1","123456863","1","1","no","no","1","no","20210101000101","20210101000101"
"76","76","JAMON CRUDO 05 x kg","JAMON CRUDO 05 x kg","no","100","1","0","1280","1","123456864","1","1","no","no","1","no","20210101000101","20210101000101"
"77","77","JUGO DE LIMON MINERVA x 960ml","JUGO DE LIMON MINERVA x 960ml","no","100","1","0","270","1","123456865","1","1","no","no","1","no","20210101000101","20210101000101"
"78","78","LEVADURA EN POLVO MAURIPAN","LEVADURA EN POLVO MAURIPAN","no","100","1","0","420","1","123456866","1","1","no","no","1","no","20210101000101","20210101000101"
"79","79","LEVADURA VIRGEN CALSA x 500 g","LEVADURA VIRGEN CALSA x 500 g","no","100","1","0","245","1","123456867","1","1","no","no","1","no","20210101000101","20210101000101"
"80","80","LOMO HORNEADO / HIERVAS x Kg LUVIANKA ","LOMO HORNEADO / HIERVAS x Kg LUVIANKA ","no","100","1","0","1060","1","123456868","1","1","no","no","1","no","20210101000101","20210101000101"
"81","81","LOMO HORNEADO NATURAL  x Kg LUVIANKA ","LOMO HORNEADO NATURAL  x Kg LUVIANKA ","no","100","1","0","1060","1","123456869","1","1","no","no","1","no","20210101000101","20210101000101"
"82","82","LONGANIZA BASTON 190 x Kg","LONGANIZA BASTON 190 x Kg","no","100","1","0","1470","1","123456870","1","1","no","no","1","no","20210101000101","20210101000101"
"83","83","QUESO PROVOLONE","QUESO PROVOLONE","no","100","1","0","900","1","123456871","1","1","no","no","1","no","20210101000101","20210101000101"
"84","84","ACEITE DE OLIVA BOTELLA x 1 Ltr G&B","ACEITE DE OLIVA BOTELLA x 1 Ltr G&B","no","100","1","0","990","1","123456872","1","1","no","no","1","no","20210101000101","20210101000101"
"85","85","ACEITE DE OLIVA LATA x 1Ltr YANCANELO","ACEITE DE OLIVA LATA x 1Ltr YANCANELO","no","100","1","0","1200","1","123456873","1","1","no","no","1","no","20210101000101","20210101000101"
"86","86","ACEITE DE OLIVA LATA x 500 cc YANCANELO ","ACEITE DE OLIVA LATA x 500 cc YANCANELO ","no","100","1","0","800","1","123456874","1","1","no","no","1","no","20210101000101","20210101000101"
"87","87","ACEITE DE OLIVA x 5 lts REINO DE LEON","ACEITE DE OLIVA x 5 lts REINO DE LEON","no","100","1","0","3000","1","123456875","1","1","no","no","1","no","20210101000101","20210101000101"
"88","88","ACEITE GYB 1/2L OLIVA","ACEITE GYB 1/2L OLIVA","no","100","1","0","550","1","123456876","1","1","no","no","1","no","20210101000101","20210101000101"
"89","89","ANIZ x 1 kg ","ANIZ x 1 kg ","no","100","1","0","480","1","123456877","1","1","no","no","1","no","20210101000101","20210101000101"
"90","90","CANELA MOLIDA x 1Kg","CANELA MOLIDA x 1Kg","no","100","1","0","850","1","123456878","1","1","no","no","1","no","20210101000101","20210101000101"
"91","91","CEBOLLA EN POLVO x 1 Kg","CEBOLLA EN POLVO x 1 Kg","no","100","1","0","650","1","123456879","1","1","no","no","1","no","20210101000101","20210101000101"
"92","92","ESTRAGON BAS x 1 kg","ESTRAGON BAS x 1 kg","no","100","1","0","2960","1","123456880","1","1","no","no","1","no","20210101000101","20210101000101"
"93","93","HUMO LIQUIDO x 1 kg","HUMO LIQUIDO x 1 kg","no","100","1","0","2300","1","123456881","1","1","no","no","1","no","20210101000101","20210101000101"
"94","94","ADOBO x 1 kg ","ADOBO x 1 kg ","no","100","1","0","550","1","123456882","1","1","no","no","1","no","20210101000101","20210101000101"
"95","95","AJI CAYENA x 1 kg ","AJI CAYENA x 1 kg ","no","100","1","0","620","1","123456883","1","1","no","no","1","no","20210101000101","20210101000101"
"96","96","AJI MOLIDO x 1 kg ","AJI MOLIDO x 1 kg ","no","100","1","0","570","1","123456884","1","1","no","no","1","no","20210101000101","20210101000101"
"97","97","AJO DESHIDRATADO EN GRANO  x 1 kg","AJO DESHIDRATADO EN GRANO  x 1 kg","no","100","1","0","860","1","123456885","1","1","no","no","1","no","20210101000101","20210101000101"
"98","98","AJO EN POLVO x 1 kg","AJO EN POLVO x 1 kg","no","100","1","0","550","1","123456886","1","1","no","no","1","no","20210101000101","20210101000101"
"99","99","ALBAHACA HOJAS x 1 kg","ALBAHACA HOJAS x 1 kg","no","100","1","0","620","1","123456887","1","1","no","no","1","no","20210101000101","20210101000101"
